Connecting to ESP32_C1 ...
Connected
Small Thermocouple (C) , Timestamp (seconds)
27.51,10.11
27.51,10.31
27.51,10.51
27.26,10.71
27.00,10.91
27.26,11.11
27.77,11.31
27.77,11.51
27.77,11.71
27.51,11.91
27.77,12.11
27.26,12.31
28.02,12.51
27.00,12.71
27.26,12.91
27.26,13.11
27.00,13.31
27.00,13.51
27.51,13.71
27.26,13.91
27.51,14.11
27.26,14.31
27.00,14.51
27.26,14.71
27.26,14.91
27.51,15.11
27.51,15.31
27.26,15.51
27.00,15.71
27.00,15.91
27.26,16.11
27.51,16.31
27.77,16.51
135.78,16.71
318.18,16.91
440.72,17.11
526.82,17.31
568.09,17.51
662.10,17.71
735.72,17.91
795.07,18.11
813.67,18.31
855.45,18.51
886.28,18.71
922.70,18.91
936.21,19.11
919.14,19.31
924.74,19.51
952.51,19.71
964.74,19.91
972.38,20.11
964.48,20.31
945.63,20.51
961.68,20.71
958.62,20.91
969.32,21.11
970.85,21.31
994.29,21.51
999.13,21.71
1008.56,21.91
1020.02,22.11
1013.40,22.31
1030.97,22.51
1043.20,22.71
1043.20,22.91
1043.20,23.11
1043.20,23.31
1043.20,23.51
1043.20,23.71
1043.20,23.91
1043.20,24.11
1043.20,24.31
1043.20,24.51
1043.20,24.71
1023.33,24.91
1026.39,25.11
1035.30,25.31
1043.20,25.51
963.46,25.71
831.76,25.91
718.65,26.11
630.51,26.31
541.85,26.51
473.33,26.71
420.34,26.91
385.69,27.11
358.18,27.31
330.67,27.51
306.21,27.71
286.85,27.91
268.25,28.11
243.80,28.31
224.69,28.51
210.68,28.71
198.45,28.91
183.67,29.11
168.13,29.31
161.00,29.51
153.87,29.71
147.50,29.91
141.39,30.11
135.78,30.31
130.43,30.51
126.36,30.71
121.77,30.91
117.69,31.11
114.38,31.31
110.31,31.51
107.76,31.71
104.70,31.91
102.15,32.11
99.61,32.31
96.30,32.51
94.26,32.71
92.22,32.91
90.44,33.11
88.40,33.31
86.61,33.51
84.58,33.71
82.79,33.91
81.27,34.11
78.97,34.31
77.95,34.51
